iter	Logloss
0	0.6921246928
1	0.6904965882
2	0.6886280456
3	0.6877012279
4	0.686409
5	0.6854952244
6	0.6842205445
7	0.6826744975
8	0.6819911346
9	0.6804649844
10	0.6795835225
11	0.6788259749
12	0.6783149956
13	0.6771740824
14	0.6758634933
15	0.6743591708
16	0.6728676136
17	0.6713348303
18	0.6706046375
19	0.6693267903
20	0.6684197136
21	0.6674239101
22	0.6657429346
23	0.6640755312
24	0.6635218224
25	0.6618722261
26	0.6604767223
27	0.6594512274
28	0.6590299485
29	0.6578774415
30	0.6572125821
31	0.6558567951
32	0.6548123862
33	0.6532345671
34	0.6525013779
35	0.6509423353
36	0.6496404035
37	0.6481043554
38	0.6470603482
39	0.6457233186
40	0.6443570345
41	0.6435730375
42	0.642086001
43	0.640945602
44	0.6400547007
45	0.6390622812
46	0.6385922502
47	0.6371451935
48	0.636352741
49	0.6356807152
50	0.6351925119
51	0.6339981443
52	0.6333555476
53	0.6329076319
54	0.632227908
55	0.6309673776
56	0.6295819015
57	0.628783808
58	0.6279517802
59	0.6274204566
60	0.6263814517
61	0.6255348499
62	0.6247082456
63	0.6242974924
64	0.6234810989
65	0.622155318
66	0.6212777825
67	0.6208200362
68	0.6197318722
69	0.619314981
70	0.6180230945
71	0.6167416161
72	0.6154704598
73	0.6144218666
74	0.6140699519
75	0.6136711316
76	0.6126328888
77	0.6116068477
78	0.6108466144
79	0.6096231611
80	0.6093387083
81	0.6087813487
82	0.6075745591
83	0.6063774671
84	0.6053903555
85	0.6044171008
86	0.6036970673
87	0.6027367937
88	0.6018989111
89	0.6013681918
90	0.6009664951
91	0.6003052235
92	0.5999810369
93	0.5988450885
94	0.5985260626
95	0.5982932145
96	0.597871874
97	0.5967527163
98	0.5959272066
99	0.5952317149
100	0.59452022
101	0.5939722282
102	0.5936944436
103	0.5930727908
104	0.592194793
105	0.59112177
106	0.5904487892
107	0.5895013358
108	0.5889622322
109	0.5883787849
110	0.5879639191
111	0.5872846767
112	0.5863902357
113	0.5859056321
114	0.5850814922
115	0.5848336105
116	0.5840009782
117	0.583176065
118	0.5821759629
119	0.5817024581
120	0.5814303589
121	0.5811522486
122	0.580900817
123	0.5800972729
124	0.5798186355
125	0.5790406254
126	0.5784534402
127	0.5779632569
128	0.57769601
129	0.5767404679
130	0.575969011
131	0.5752044751
132	0.5747507555
133	0.5741168159
134	0.573881611
135	0.5733003793
136	0.5725080786
137	0.5720699149
138	0.5718253468
139	0.5711448876
140	0.5708365311
141	0.5703014147
142	0.5697702813
143	0.5691519135
144	0.5687940699
145	0.5682730908
146	0.5677198415
147	0.5671709987
148	0.567023562
149	0.5665420684
150	0.5662544066
151	0.5659296046
152	0.5654299459
153	0.5652249195
154	0.5644692942
155	0.5637196519
156	0.5635709287
157	0.562972195
158	0.5628241103
159	0.5624442424
160	0.5619541997
161	0.5614840852
162	0.5612864303
163	0.5611134667
164	0.5602878542
165	0.559801053
166	0.5590823325
167	0.5589148934
168	0.5584773118
169	0.5580270643
170	0.5578286765
171	0.557646064
172	0.5571747595
173	0.5563797989
174	0.5556883909
175	0.5549049725
176	0.554127654
177	0.5535293671
178	0.5533595621
179	0.5529058253
180	0.5524455342
181	0.5522798814
182	0.5519481142
183	0.5512888143
184	0.5509924565
185	0.5507731101
186	0.5505290025
187	0.5497857539
188	0.5491417401
189	0.5489378789
190	0.5485697975
191	0.5478416427
192	0.5473614939
193	0.5471850377
194	0.5468059971
195	0.5467092078
196	0.5459955398
197	0.5458320507
198	0.5456386064
199	0.5452164108
200	0.544794208
201	0.5440952353
202	0.5439676989
203	0.5433830987
204	0.5426951401
205	0.5425096753
206	0.5423724455
207	0.5418545585
208	0.5413156396
209	0.5409742334
210	0.540841314
211	0.5401734692
212	0.5395107391
213	0.5391870397
214	0.5386367987
215	0.5383180786
216	0.538123916
217	0.5380131792
218	0.5377636175
219	0.5372779976
220	0.5369579899
221	0.5366361546
222	0.5360006421
223	0.5357840574
224	0.5351550497
225	0.5350486294
226	0.5349219314
227	0.5343821726
228	0.53422401
229	0.5339171118
230	0.5338298952
231	0.5332159345
232	0.533072755
233	0.532587897
234	0.5321464481
235	0.5317082032
236	0.5315315821
237	0.5310581069
238	0.5304648496
239	0.5303468931
240	0.5301020371
241	0.5296410604
242	0.5293075137
243	0.5291995252
244	0.5289161237
245	0.5287620435
246	0.5285451515
247	0.5284547315
248	0.5281283179
249	0.5275570873
250	0.5271946683
251	0.5267853145
252	0.5265752853
253	0.5260154959
254	0.5254599056
255	0.5252673518
256	0.525201834
257	0.5249705469
258	0.5249061253
259	0.5247306342
260	0.5244233133
261	0.524129812
262	0.5239441626
263	0.5234933313
264	0.5230994978
265	0.5229597126
266	0.5224998573
267	0.5223977165
268	0.5220623717
269	0.5216789634
270	0.5212727056
271	0.5208416584
272	0.5204373056
273	0.5199240617
274	0.5195259962
275	0.519089299
276	0.5189924371
277	0.5187652435
278	0.5184024745
279	0.5179042545
280	0.5178172698
281	0.5177591996
282	0.5174033633
283	0.5170220699
284	0.516736706
285	0.5165489073
286	0.5162003576
287	0.5160236884
288	0.5155428525
289	0.5153085477
290	0.5152586959
291	0.5151316609
292	0.5148820907
293	0.5147008219
294	0.5145228879
295	0.514413895
296	0.5142380645
297	0.5141963502
298	0.5140384364
299	0.5135717779
300	0.5132134391
301	0.5131288042
302	0.5127495444
303	0.5122925613
304	0.5121301324
305	0.5119689672
306	0.5116200838
307	0.5114138025
308	0.5111346137
309	0.5109393285
310	0.5106240995
311	0.5102602031
312	0.5101344595
313	0.5100413479
314	0.5096038853
315	0.5095586904
316	0.5093985793
317	0.5093027597
318	0.5091334889
319	0.5088309719
320	0.508701667
321	0.5085734748
322	0.5083098527
323	0.5082276187
324	0.5078032632
325	0.5077710951
326	0.5075844356
327	0.5071647869
328	0.5070416337
329	0.5069076617
330	0.5066917618
331	0.5065263553
332	0.5062927155
333	0.5058823404
334	0.5056520308
335	0.5053756317
336	0.5050306596
337	0.50488304
338	0.5046746615
339	0.5045491867
340	0.5043054655
341	0.5041018483
342	0.5038799417
343	0.5036596529
344	0.5036235968
345	0.5033252579
346	0.5032692598
347	0.5028803856
348	0.5028069829
349	0.5024214416
350	0.5021307277
351	0.5019346431
352	0.501803835
353	0.5014944074
354	0.5014646529
355	0.501439556
356	0.5013851264
357	0.5012808666
358	0.5012233636
359	0.5009963257
360	0.5009679002
361	0.5009397028
362	0.5008927611
363	0.5007374456
364	0.5005805577
365	0.5003264503
366	0.4999586973
367	0.4998221641
368	0.4996617364
369	0.4995370743
370	0.499322881
371	0.4991878307
372	0.4990791111
373	0.4989072388
374	0.4988397522
375	0.498647903
376	0.4984055483
377	0.4983846712
378	0.498139611
379	0.4980881357
380	0.4979536416
381	0.4979027102
382	0.4978273384
383	0.4977770234
384	0.4974272045
385	0.497386353
386	0.4970392819
387	0.4969352929
388	0.4968917661
389	0.4967533767
390	0.4965220893
391	0.496439526
392	0.4960991908
393	0.4960571487
394	0.4959856776
395	0.4959473598
396	0.4957880068
397	0.4956300009
398	0.4956059011
399	0.4953808976
400	0.4953234632
401	0.4952068597
402	0.4950531092
403	0.4949449028
404	0.4948327053
405	0.4947681245
406	0.4947329878
407	0.4946127887
408	0.4945840804
409	0.4942566157
410	0.4941083952
411	0.4940571064
412	0.4939765392
413	0.4939479183
414	0.4938746818
415	0.4937378371
416	0.4935642559
417	0.4934899765
418	0.4933110341
419	0.4931678997
420	0.4929576468
421	0.492858327
422	0.4928264166
423	0.4926796556
424	0.492365697
425	0.4922898089
426	0.4922145626
427	0.4919038232
428	0.4918510351
429	0.491542766
430	0.491379119
431	0.4913413791
432	0.4911992022
433	0.4911756031
434	0.491034808
435	0.4909890061
436	0.49092036
437	0.4909013093
438	0.4907759004
439	0.4906730787
440	0.4905753251
441	0.4903790943
442	0.4902940311
443	0.4901185582
444	0.489895982
445	0.4898787464
446	0.489864083
447	0.4896454135
448	0.4894283221
449	0.4892972349
450	0.4890060938
451	0.488933181
452	0.4887412218
453	0.4887270463
454	0.4884397168
455	0.4884236501
456	0.488386756
457	0.488290724
458	0.4881351928
459	0.4880647109
460	0.4879697691
461	0.4877446961
462	0.4875356926
463	0.4872967955
464	0.4872837586
465	0.4871752736
466	0.486955019
467	0.4867780127
468	0.4865914763
469	0.4863888623
470	0.4863377814
471	0.4863015154
472	0.4860305621
473	0.4859934471
474	0.4859796859
475	0.4858865865
476	0.4857701014
477	0.4857417375
478	0.4857090036
479	0.4856658126
480	0.4855471812
481	0.4854311394
482	0.4851661235
483	0.4849408935
484	0.4846791453
485	0.4844569694
486	0.4843213246
487	0.4840636424
488	0.48399182
489	0.4838790966
490	0.4836243088
491	0.4835946084
492	0.4834074149
493	0.4833871972
494	0.4832510935
495	0.4831813285
496	0.4830376529
497	0.4827882904
498	0.4827614004
499	0.482513877
500	0.4824052348
501	0.4821601138
502	0.482091614
503	0.4820083374
504	0.4818291361
505	0.4817767878
506	0.4816008146
507	0.4815896374
508	0.481498707
509	0.4814481786
510	0.4813350185
511	0.4812595773
512	0.4810720423
513	0.480835562
514	0.4807609451
515	0.4806391953
516	0.4805281835
517	0.4803954672
518	0.4802429223
519	0.4802326624
520	0.4802005276
521	0.4801768847
522	0.479986319
523	0.4797566316
524	0.4796802722
525	0.4796060186
526	0.4794801275
527	0.4793842268
528	0.4793711189
529	0.479300534
530	0.4791799577
531	0.4791243694
532	0.4790462558
533	0.4788561214
534	0.478633536
535	0.4785919829
536	0.4783711129
537	0.4781516795
538	0.4779723044
539	0.4778817313
540	0.477858567
541	0.4778343027
542	0.4776764899
543	0.4776468464
544	0.4776038126
545	0.4775861495
546	0.4774174729
547	0.477350318
548	0.477137526
549	0.477000154
550	0.4769598672
551	0.4769309285
552	0.476915508
553	0.4768726983
554	0.4767210245
555	0.4766651643
556	0.4766559536
557	0.4765397809
558	0.4764656271
559	0.4763377514
560	0.4763010655
561	0.4762489562
562	0.4762364551
563	0.4761398811
564	0.476007573
565	0.4758991562
566	0.4758038184
567	0.4757881617
568	0.4756636401
569	0.4754615006
570	0.4753280981
571	0.4752899275
572	0.4752269951
573	0.4752225009
574	0.4751855196
575	0.4750226833
576	0.4750078373
577	0.4749269197
578	0.474784694
579	0.4746435419
580	0.4745439148
581	0.4745024068
582	0.4744117396
583	0.4743076576
584	0.4742437784
585	0.4742249776
586	0.4742062074
587	0.4741876718
588	0.4741512142
589	0.4739582859
590	0.4737665831
591	0.4737628727
592	0.4736821255
593	0.4736768529
594	0.4735160926
595	0.473512297
596	0.4734503228
597	0.4734388544
598	0.4733394678
599	0.4733143009
600	0.473216218
601	0.4730580185
602	0.4730530551
603	0.473048127
604	0.4730445908
605	0.4729462092
606	0.472760858
607	0.4727338223
608	0.4725900183
609	0.4724069859
610	0.4723524039
611	0.4722981528
612	0.4722029166
613	0.472194488
614	0.4720797375
615	0.4719714712
616	0.4719132432
617	0.4718059151
618	0.4717905258
619	0.4716632242
620	0.4714859089
621	0.4714626181
622	0.471408987
623	0.4713969371
624	0.4713885099
625	0.4712838678
626	0.4712607167
627	0.4711908841
628	0.4711879181
629	0.4710734234
630	0.4709787537
631	0.4708057845
632	0.4707742839
633	0.4707702631
