class,A,Y,C,D,Q,G,S,H,R,L,I,V
0.0,0.05,0.02,0.0,0.05,0.09,0.11,0.09,0.01,0.02,0.13,0.06,0.03
0.0,0.1,0.04,0.0,0.03,0.08,0.09,0.11,0.03,0.04,0.12,0.07,0.07
0.0,0.1,0.07,0.0,0.05,0.03,0.1,0.08,0.03,0.02,0.05,0.0,0.05
0.0,0.09,0.04,0.0,0.07,0.05,0.08,0.13,0.02,0.04,0.07,0.03,0.06
0.0,0.11,0.02,0.0,0.03,0.06,0.12,0.09,0.03,0.01,0.07,0.06,0.08
0.0,0.12,0.02,0.02,0.04,0.03,0.06,0.13,0.0,0.01,0.13,0.04,0.04
0.0,0.14,0.0,0.02,0.07,0.05,0.08,0.05,0.01,0.04,0.07,0.03,0.09
0.0,0.09,0.04,0.0,0.04,0.08,0.09,0.08,0.01,0.03,0.15,0.06,0.08
0.0,0.09,0.0,0.0,0.04,0.01,0.1,0.09,0.03,0.01,0.05,0.04,0.1
0.0,0.14,0.02,0.03,0.01,0.01,0.04,0.1,0.01,0.02,0.07,0.07,0.05
0.0,0.12,0.03,0.01,0.05,0.02,0.06,0.09,0.01,0.05,0.04,0.07,0.1
0.0,0.08,0.0,0.02,0.07,0.04,0.07,0.11,0.0,0.0,0.05,0.06,0.13
